"names" "elo" "wins" "losses"
"1" "Olivia" 1525 1 0
"2" "Amelia" 1500 0 0
"3" "Isla" 1500 0 0
"4" "Ava" 1500 0 0
"5" "Mia" 1500 0 0
"6" "Isabella" 1500 0 0
"7" "Sophia" 1500 0 0
"8" "Grace" 1525 1 0
"9" "Lily" 1475 0 1
"10" "Freya" 1548.20420365274 2 0
"11" "Emily" 1500 0 0
"12" "Ivy" 1525 1 0
"13" "Ella" 1500 0 0
"14" "Rosie" 1500 0 0
"15" "Evie" 1500 0 0
"16" "Florence" 1525 1 0
"17" "Poppy" 1500 0 0
"18" "Charlotte" 1500 0 0
"19" "Willow" 1500 0 0
"20" "Evelyn" 1500 0 0
"21" "Elsie" 1500 0 0
"22" "Phoebe" 1500 0 0
"23" "Sophie" 1500 0 0
"24" "Sienna" 1500 0 0
"25" "Alice" 1500 0 0
"26" "Sofia" 1500 0 0
"27" "Ruby" 1500 0 0
"28" "Isabelle" 1500 0 0
"29" "Harper" 1500 0 0
"30" "Matilda" 1475 0 1
"31" "Daisy" 1500 0 0
"32" "Emilia" 1500 0 0
"33" "Jessica" 1525 1 0
"34" "Maya" 1500 0 0
"35" "Eva" 1500 0 0
"36" "Luna" 1500 0 0
"37" "Millie" 1500 0 0
"38" "Eliza" 1475 0 1
"39" "Chloe" 1476.79579634726 0 1
"40" "Maisie" 1500 0 0
"41" "Penelope" 1500 0 0
"42" "Aria" 1500 0 0
"43" "Esme" 1475 0 1
"44" "Scarlett" 1500 0 0
"45" "Imogen" 1500 0 0
"46" "Thea" 1500 0 0
"47" "Ada" 1475 0 1
"48" "Layla" 1500 0 0
"49" "Harriet" 1475 0 1
"50" "Mila" 1500 0 0
